title,author,year
The Tempest,William Shakespeare,1610
To Kill a Mockingbird,Harper Lee,1960
1984,George Orwell,1949
Pride and Prejudice,Jane Austen,1813
The Great Gatsby,F. Scott Fitzgerald,1925
Moby Dick,Herman Melville,1851
War and Peace,Leo Tolstoy,1869
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997
The Lord of the Rings,J.R.R. Tolkien,1954
Jane Eyre,Charlotte Bronte,1847
Brave New World,Aldous Huxley,1932
Animal Farm,George Orwell,1945
bible,jesus,401
